source,target,weight
cook on stove,use mushroom,2
cook pasta,cook with steel,2
drink coffee,put food,2
add oil,use pad,4
add oil,use cosmetic,5
put music,work from home,2
wash face,wear sunscreen,5
add water,squeeze muscle,2
eat calorie,use point,7
eat calorie,use type,4
eat amount,put food,2
eat amount,eat calorie,7
add water,use whisk,2
add sweetener,use milk,4
add spinach,add to pan,3
add broccoli,add spinach,2
add spinach,eat calorie,2
eat calorie,use butter,2
add tomato,use serving,2
add salt,eat calorie,5
add scoop,add water,2
add bit,use milk,3
add water,eat food,6
add water,set vibe,2
eat calorie,set goal,2
use moisturizer,use serum,4
brush brow,shave leg,2
add water,eat breakfast,6
wear makeup,wear sunscreen,5
wear jacket,wear sunscreen,2
wear jacket,wear makeup,5
drink wine,use strawberry,3
put hair,use brand,2
put hair,use type,5
brush brow,wash hair,2
put hair,use brush,16
put hair,use finger,2
use brush,use finger,6
add cinnamon,use yogurt,3
add cinnamon,put side,2
eat breakfast,remove from oven,2
add tomato,put lid,5
add tomato,cook on stove,12
add spinach,use rice,2
put energy,use notebook,2
eat breakfast,use straw,3
eat breakfast,use glass,3
use glass,use straw,4
boil pasta,use bread,2
add salt,use yogurt,3
add spinach,use hummus,2
drink coffee,drink tea,14
cut in half,use berry,2
add green,cut in half,2
add scoop,add spinach,2
add ice,add spinach,3
chop cucumber,use rice,5
brush tooth,put watch,2
brush tooth,drink tea,4
read book,use app,3
wash face,wash in morning,2
use recipe,use strawberry,4
read instruction,use strawberry,2
add water,sprinkle on top,2
sprinkle on top,use milk,3
use retinol,wash face,2
use retinol,wear sunscreen,5
use at night,wash face,3
use type,wear sunscreen,2
drink coffee,wear sunscreen,3
eat breakfast,work from home,2
cut in half,eat dinner,2
eat breakfast,eat food,8
cut in half,use bread,2
add tomato,cook for minute,3
add spinach,add tomato,2
add bean,add tomato,4
add to pan,add tomato,6
add to soup,use rice,2
add to soup,add water,2
use baby,use rice,3
put stuff,use baby,3
add sugar,add sweetener,4
cook for minute,use recipe,2
use butter,use recipe,6
cook for minute,use butter,3
use rice,use tortilla,5
add onto baking dish,use tortilla,3
add chicken,add onto baking dish,3
add chicken,use tortilla,8
cut bottom,eat calorie,3
eat calorie,pack snack,5
add shrimp,use rice,2
add pepper,use rice,10
add to pan,use rice,7
add pepper,add shrimp,3
add pepper,use serving,2
add to pan,use serving,2
add carrot,add pepper,3
add carrot,add to pan,3
add carrot,use rice,3
add carrot,add water,4
add to pan,use tofu,3
use bread,use type,9
add honey,use milk,8
add honey,add sugar,4
add bean,eat meat,6
cut bottom,drink alcohol,2
add ingredient,use type,4
add spinach,eat dairy,3
add date,put lid,2
eat breakfast,put lid,2
add vegetable,eat dinner,2
add bean,eat dinner,4
add water,use mushroom,5
add onion,add to plate,2
use app,use recipe,12
add to pan,put bit,2
add oil,use spatula,3
put lid,use spatula,3
add water,use yogurt,6
eat carb,use app,2
add vegetable,use app,5
add vegetable,eat carb,2
add fat,add vegetable,2
add onion,cook on side,2
add honey,add spinach,2
add vegetable,write in diary,2
add shrimp,drink tea,2
add oil,add shrimp,2
add bit,add shrimp,2
add bit,add pepper,2
add pepper,use yogurt,4
add cinnamon,use milk,12
add cinnamon,use cream,4
add honey,use cream,6
add egg,put on stove,2
add onion,use recipe,7
use app,use color,2
add to pan,use color,2
put lid,use color,4
add water,use color,3
add chicken,put lid,6
add chicken,add flavor,8
add onion,cook for minute,15
add flavor,cook for minute,3
add flavor,add garlic,4
add chicken,use app,3
add onion,brush hair,2
brush hair,use type,2
cook on stove,drink tea,2
add flavor,drink tea,3
add tomato,cut into quarter,7
add flavor,cut into quarter,2
cook pasta,use mushroom,4
add tomato,cook pasta,8
add ingredient,add tomato,2
add flavor,add ingredient,3
add bit,add flavor,3
add salt,add spinach,2
add flavor,add oil,5
add chicken,add potato,20
add carrot,add potato,5
add bean,add carrot,6
add bean,add vegetable,2
add garlic,add ginger,9
add garlic,add to soup,2
add protein,eat carb,7
cut in half,drink coffee,2
add bean,add spice,2
put thought,sleep in bed,3
fill with sand,wear sneaker,2
add accessory,wear outfit,2
put bit,use tip,3
use berry,use cream,2
eat dairy,use type,3
add ice,use type,4
add egg,eat calorie,3
eat food,use point,4
eat calorie,eat food,12
add salt,use air,3
add cinnamon,add salt,4
drink tea,eat calorie,2
add chicken,use bread,3
add potato,cook on side,3
add onion,add spinach,2
add potato,use in game,2
add chicken,add ingredient,4
add chicken,add green,3
add tomato,cook on side,2
drink alcohol,drink wine,2
drink wine,use fruit,2
add water,drink wine,2
build muscle,burn hand,5
burn hand,use laptop,2
build muscle,use laptop,2
burn hand,put phone,3
burn hand,eat calorie,5
use cleaner,use moisturizer,3
use moisturizer,wear sunscreen,6
add onion,chop lettuce,2
add onion,add vinegar,2
add garlic,cook on stove,2
add vinegar,cook on stove,2
add chicken,cook on stove,5
eat food,use recipe,2
drink alcohol,eat food,2
build muscle,lift torso,3
lift torso,lift weight,2
lift weight,use arm,4
lift weight,put hand,3
put hand,use arm,2
hold shape,lift hip,3
add drop,bend in front,2
bend in front,lift torso,2
add drop,lift torso,2
add water,use berry,4
chop cucumber,use berry,3
add ice,drink tea,2
add onion,eat tuna,5
cut in half,eat tuna,6
add to plate,eat tuna,6
use mushroom,use recipe,2
add ingredient,use mushroom,2
add chicken,pull marinade over skewer stick,3
use rose,wash face,2
use mineral,wash face,3
use moisturizer,use rose,3
use mineral,use rose,2
add oil,use moisturizer,3
add ice,use recipe,3
add oil,add onto baking dish,6
add filling,add oil,2
add filling,add onion,2
use fruit,use type,2
add cilantro,cut in half,2
use milk,wash face,4
pay attention,put energy,3
put effort,work way,2
put effort,use mascara,2
add oil,add scoop,2
add garlic,use chickpea,3
add cinnamon,add water,13
add topping,add water,3
add cinnamon,sprinkle on top,2
add water,pack snack,4
add potato,add to pan,3
add tomato,use baby,4
add onion,use baby,2
add onion,use chickpea,3
add tomato,use chickpea,3
add water,use chickpea,4
cook on side,use rice,6
add vegetable,eat calorie,2
add stevia,add sweetener,3
add ice,add sweetener,2
eat dairy,use blender,2
drink coffee,use blender,2
drink coffee,eat dairy,2
add date,add water,4
add water,eat carb,3
add cinnamon,add ice,4
burn hand,eat carb,3
add onion,use bread,2
add to sandwich,use bread,6
add carrot,eat calorie,2
add potato,eat calorie,3
add potato,add tomato,4
add length,add water,2
add honey,use yogurt,5
add topping,use yogurt,5
use fruit,use yogurt,2
use butter,use yogurt,3
add protein,use type,2
add ice,add protein,3
put phone,write note,2
burn hand,eat food,3
add fat,use fruit,2
add water,eat calorie,13
eat food,pay attention,3
eat amount,pay attention,3
remove makeup,use brush,3
add protein,use yogurt,2
add protein,use cream,2
add water,use cream,4
add cube,add spinach,2
add bit,add cube,2
add flavor,cook on side,2
add egg,add tomato,2
add egg,add shell,5
add fat,add sweetener,4
add to pan,use chickpea,6
cook on stove,use chickpea,2
add to pan,cook pasta,2
add flavor,use baby,2
add water,use bread,2
add pepper,use bread,5
add green,use bread,2
add green,add pepper,2
add onion,cook pasta,4
add spinach,cook pasta,2
add egg,use walnut,2
add ice,use glass,2
add ice,add sauce,3
add sauce,use glass,3
add sauce,toast slice,3
add oil,toast slice,3
add water,use moisturizer,5
put hair,use legume,2
add potato,use mushroom,2
add oil,add thyme,2
add thyme,use mushroom,4
add potato,add rosemary,4
add vegetable,use macadamia,2
use macadamia,use recipe,2
add sauce,add vegetable,3
add date,add ingredient,3
use microphone,use point,2
catch seed between finger,eat dinner,2
brush tooth,use moisturizer,3
toast slice,use bread,4
toast slice,use type,2
add salt,toast slice,3
add honey,use brand,3
add flavor,add honey,2
add sugar,drink tea,5
add carrot,add onion,3
add carrot,add salt,2
eat dinner,use rice,5
cook on side,eat dinner,2
pack snack,use air,2
brush tooth,drink alcohol,2
use cream,wash face,2
use cream,use moisturizer,6
use berry,use fruit,3
cook on stove,use milk,6
add cinnamon,add oil,6
add cinnamon,add flavor,9
add cinnamon,add sweetener,8
add flavor,add sweetener,6
eat tuna,use bread,6
eat fish,use bread,2
eat fish,eat tuna,2
add onion,eat fish,3
add to sandwich,add tomato,5
use baby,use chickpea,2
add flavor,use chickpea,3
use concealer,use finger,4
use finger,use mineral,4
put under eye,use finger,2
use brush,use concealer,4
use brush,use shade,5
draw line,fill space,6
fill space,read direction,2
fill space,use product,4
fill space,put hair,3
fill space,use shade,2
brush brow,fill space,6
read direction,use product,2
put hair,read direction,2
put hair,use product,8
use product,use shade,3
brush brow,use shade,4
use color,use product,3
rub finger,use color,2
put on cheekbone,use color,5
put on cheekbone,rub finger,2
put on cheekbone,use type,2
put hair,put on cheekbone,2
put on cheekbone,use product,2
add oil,burn hand,7
add bit,cook for minute,4
use bread,use ton,4
add salt,eat lunch,2
add cilantro,add onion,5
add bit,cut in half,2
cut in half,use serving,2
add pepper,add to sandwich,4
cook grain,use hummus,2
add to sandwich,use hummus,3
add tomato,use hummus,3
add carrot,add to sandwich,2
add vegetable,use cream,2
add touch,use shade,2
brush brow,use type,2
brush brow,fill eyebrow,2
fill browser bed,use type,2
draw line,fill eyebrow,2
draw line,fill browser bed,2
fill browser bed,fill space,2
dab stain,use shade,2
clean area,put hair,8
put hair,wear makeup,12
use at night,use moisturizer,3
add ice,use moisturizer,2
use moisturizer,use product,4
brush tooth,use finger,2
brush tooth,use cream,3
brush hair,use cream,4
eat at home,eat food,2
cut in half,use baby,2
add vegetable,roast squash,3
cook grain,use rice,4
burn hand,use rice,2
add bit,burn hand,2
add chicken,use tofu,5
add broccoli,eat dinner,4
add broccoli,set timer,2
add carrot,use chickpea,2
eat dinner,use serving,4
add broccoli,use serving,2
brush tooth,eat food,3
brush tooth,eat breakfast,5
brush tooth,put thought,2
add to routine,wash face,2
add to routine,use moisturizer,2
add green,add water,4
add water,use legume,4
add water,drain water,4
add to pan,eat food,3
add ingredient,use fruit,2
use berry,use milk,3
add cinnamon,use berry,4
add protein,use berry,2
use cacao,use yogurt,2
break habit,eat calorie,2
burn hand,use planner,2
burn hand,wear pedometer,3
burn hand,set for hour,3
burn hand,set timer,2
add salt,eat food,2
add sugar,eat breakfast,2
add cinnamon,put on stove,2
put on stove,use type,2
drink coffee,use for afternoon,2
add water,use paper,3
add rosemary,add water,5
put dish,wash hair,6
add to pan,put dish,2
add to pan,wash hair,2
add mint,eat calorie,3
eat calorie,eat carb,2
add oil,use board,3
clean area,remove skin,2
add sugar,use recipe,3
add pepper,add protein,2
add sugar,cook pasta,2
clean area,drink tea,2
add veggie,cook pasta,3
brush hair,use bottle,2
burn hand,wash face,3
eat breakfast,wash face,4
add cinnamon,add stevia,4
brush tooth,use recipe,2
brush tooth,put lipstick,3
brush tooth,put perfume,3
brush tooth,put shoe,2
put lipstick,put perfume,2
put lipstick,put shoe,2
put perfume,put shoe,3
put shoe,use bottle,2
add fat,add flavor,5
use bread,use chickpea,6
add pepper,use chickpea,3
add ingredient,add pepper,3
use fruit,use recipe,4
eat breakfast,set for success,2
add bit,add ice,2
add ice,add liquid,2
add ice,add topping,2
add topping,use recipe,2
build muscle,squeeze muscle,2
lift hip,squeeze muscle,2
lift torso,squeeze muscle,2
lift hip,lift torso,2
add topping,eat breakfast,2
add bean,use milk,2
add chicken,use milk,4
add chicken,add tomato,8
add shell,add water,2
add pepper,add potato,3
add bit,use chickpea,3
add ingredient,add sugar,2
fill tray,place of treat,2
add to plate,place of treat,2
place of treat,set for hour,2
add to plate,set for hour,2
add to plate,use serving,2
pull hair,wash face,4
add water,rinse face,2
use mineral,use shade,2
fill eyebrow,use shade,3
put food,use fruit,4
add ice,drink coffee,4
add dressing,add ingredient,3
chop lettuce,put lid,2
add to plate,cook pasta,2
wear skirt,wear to event,4
eat food,wash hair,2
drain water,eat food,2
add spinach,eat carb,2
add text,use hummus,2
add ingredient,use hummus,2
eat dinner,use recipe,3
eat calorie,eat dinner,2
eat calorie,use recipe,7
add flavor,add protein,2
add green,eat dairy,2
add ice,add ingredient,2
add ingredient,burn hand,2
clear counter,wash hair,4
add onto baking dish,roll dough,2
add oil,use cacao,5
use cacao,use type,2
add salt,use cacao,3
cut in half,roll dough,2
add cinnamon,eat carb,2
add fat,use berry,2
add carrot,wash hair,2
add salt,cut into quarter,2
add salt,add to plate,2
cook on stove,put food,2
add date,drain water,2
add date,use blender,4
add egg,toast slice,2
add garlic,add tomato,4
cook for minute,cook on stove,8
add sauce,cook on stove,3
add sauce,add to pan,5
put hand,use can,3
put hand,stick chest,2
catch breath,lift weight,5
catch breath,put hand,4
add water,put hand,2
catch breath,lift hip,3
lift hip,lift weight,2
add height,lift weight,2
add to taste,eat carb,2
drink coffee,eat carb,2
add to taste,add water,2
cut in half,toast slice,2
add egg,add protein,2
roll dough,use butter,2
eat dairy,use cream,5
add salt,add to taste,2
add sweetener,add to taste,3
lift torso,put hand,2
add fat,add honey,2
squeeze muscle,use hand,2
catch guy,lift torso,2
add honey,add oil,4
use mask,use vacuum,2
eat lunch,use mask,2
use code,use wire,8
fill space,use planner,2
add date,fill space,5
drink alcohol,use milk,2
ride on back,use type,2
put hair,ride on back,2
add sugar,use strawberry,4
use type,write note,2
put shoe,vacuum floor,2
eat amount,eat tuna,3
clean kitchen,use glass,4
light candle,work for while,2
brush tooth,write list,6
drink tea,use code,2
put list,use brush,2
put list,wash hair,5
put hair,put list,2
clean kitchen,wash hair,3
clean kitchen,put hair,3
clean kitchen,put list,4
put plant,put stuff,2
light candle,use at night,2
clean house,use code,2
build credit,fight bloat,3
use paper,write list,2
drink tea,write list,2
use mug,write list,2
put clothe,wash dish,3
drink coffee,put phone,2
put shelf,squish in hand,2
use code,use website,6
use in kitchen,wash hair,2
rip page,write list,4
draw line,set goal,2
open drawer,put stuff,2
add to soup,wash dish,2
use milk,use strawberry,3
sleep in bed,wear sweatshirt,2
wear makeup,wear sweatshirt,2
put clothe,wash hair,2
clean sink,vacuum floor,2
remove makeup,wash hair,2
clear counter,put stuff,2
sleep in bed,work from home,2
add onion,use cream,3
put energy,put on path,2
put lipstick,use color,2
put hair,write list,2
put energy,set goal,4
put music,set goal,3
add to routine,break habit,3
draw card,use planner,2
clean floor,put side,2
add barrier,fight radical,3
fight radical,put life in danger,3
rip page,use notebook,3
put effort,spread to people,2
clean house,wash dish,4
put shoe,wear jacket,2
put stuff,wash dish,4
put clothe,put effort,4
wash dish,work way,2
break throughout week,clean during weekend,2
break throughout week,vacuum floor,2
read book,use website,2
set for hour,use paint,2
use paint,write plan,3
read book,spread air tornado,3
add water,pay attention,5
catch guy,write list,2
drink tea,use color,2
clean dish,put pillow,2
wear to event,wear top,2
put side,wear in winter,2
read encyclopedia,set goal,2
clean sink,work way,2
pay attention,put food,3
use calendar,write list,3
put dish,put stuff,2
remove clothing,use pin,2
put shelf,put stuff,4
put flower,use rubbing alcohol,2
pay attention,put bit,2
put bit,put effort,2
use in kitchen,use type,2
put effort,put energy,2
put effort,put shoe,2
clean house,put shoe,2
put shoe,put stuff,4
clean house,put stuff,3
brush hair,use spray,3
use cream,use razor,3
set for hour,use cream,2
add to routine,chop for time,2
chop for time,pay attention,2
put dish,put energy,2
work way,write plan,2
put dish,use milk,3
set goal,work way,2
fight radical,set goal,2
clean fridge,clean house,2
clean car,put list,4
shave leg,wash hair,3
shave leg,use razor,3
put side,work on zip,2
wear skirt,work on zip,2
add to plate,use mug,2
add water,write zero,3
write in diary,write note,2
put tan,use color,2
use color,wear makeup,3
put hair,use attachment,3
use attachment,wash hair,2
put energy,put foot,2
cut in half,open window,2
pull flap,use as puree,2
clean house,put foot,5
clean house,put clothe,3
clean floor,put foot,2
wear dress,wear skirt,2
clean fridge,put shoe,2
clean fridge,put stuff,2
clean fridge,wear pant,2
clean fridge,wear jean,2
wash body,wash face,3
put hair,wash body,3
brush hair,use product,2
use tape,wash clothe,3
use cardstock,wash clothe,3
light candle,put plant,5
clean dish,wash hair,3
clean floor,put in bathroom,3
put clothe,wash clothe,3
drink coffee,pack with antioxidant,2
add water,pack with antioxidant,2
drink tea,pack with antioxidant,2
drink tea,put energy,2
add sage,add salt,3
lift weight,put quote,2
use cosmetic,use type,2
cut fabric,wear hat,2
put underwear,wear hat,2
clean dish,clean floor,3
clean mess,use notebook,2
add sugar,put food,2
drink tea,pay attention,2
read book,set challenge,2
read book,read encyclopedia,4
put information,read book,2
add potato,put food,2
add curl,put hair,7
use finger,use shampoo,2
add curl,wear makeup,2
add ingredient,eat breakfast,2
eat breakfast,write list,3
add ingredient,write list,2
wash face,write list,2
put flower,use fruit,3
clean house,put in mood,4
add water,use pad,3
eat carb,wear makeup,2
eat at home,eat carb,2
use felt,use product,2
use pad,use product,2
remove makeup,use product,2
remove makeup,use type,4
remove makeup,use method,3
use method,use type,2
shave leg,wash face,4
add tomato,eat breakfast,2
add curl,spray with hairspray,2
put hair,spray with hairspray,3
hold to ribbon,use hand,2
put hair,use pin,6
put hair,use color,6
use color,wear bra,3
put hair,use towel,4
put tan,use towel,3
put basket,put clothe,4
use mask,wash hair,3
use on occasion,wear dress,2
put cover,write list,2
clean kitchen,light candle,3
clean house,light candle,8
use chapstick,write list,2
add to routine,put over body,2
add to routine,put animal,2
use bottle,use cleaner,9
use brush,use tool,2
open bag,put shoe,2
put under eye,use sponge,4
put bit,use sponge,2
bend in front,use brush,2
brush hair,pull flap,2
brush hair,put stuff,2
clean area,wash dish,3
put effort,put side,2
wash dish,write list,2
hold watercolor paint,use brush,2
squeeze muscle,write list,2
sprinkle on top,use bread,2
wear in winter,wear skirt,3
put hanger,wear skirt,2
add to routine,use brush,2
add to routine,put hair,2
add to routine,brush hair,2
rinse face,use product,2
add water,use product,7
use electricity,use method,2
use concealer,use sponge,2
put under eye,use palette,2
use palette,use sponge,2
put lid,use sponge,2
put side,use sponge,2
put lid,use palette,3
use bronzer,use palette,2
put clothe,put dish,4
use glue,use pin,2
use board,write zero,2
set goal,write plan,3
lift weight,meet people,2
add water,use brush,5
add water,use finger,2
use spray,use towel,4
put thought,wrap gift,3
put shoe,wrap gift,3
use paint,work in section,2
add glitter,work in section,2
cut fabric,put cushion,2
cut fabric,use paper,2
cut fabric,use scissor,4
put cushion,use glue,2
put cover,put cushion,2
wear sneaker,wear top,3
add bead,add height,2
add height,put shelf,2
put shoe,wash dish,2
add to plate,put stuff,2
cover redness,use sponge,2
add bit,use sponge,4
use cosmetic,use sponge,3
add bit,cover redness,2
cover redness,use cosmetic,2
add bit,use cosmetic,2
brush brow,use benefit,2
put cushion,use iron,2
wear jean,wear sneaker,2
put clothe,put cover,2
put clothe,work from home,3
dye hair,wear makeup,2
use rice,use spoon,2
put lid,rinse face,2
rinse face,wash hair,4
put hair,put in root,5
use type,wash face,4
use color,use point,3
wear hat,write list,2
use hand,use product,2
add salt,put hair,2
brush hair,write list,3
place order,write list,2
add tomato,use fruit,3
add ingredient,use cream,3
eat food,put stuff,2
use foam,use paint,2
put dish,use paper,2
use foam,use hairdryer,2
paint coat,use hairdryer,2
use hairdryer,use paper,2
use hairdryer,use pencil,3
use brush,use hairdryer,2
put sheet,use hairdryer,3
use brush,use pencil,4
put sheet,use pencil,2
put bit,put headband,2
use foundation,use kit,3
use bronzer,use type,4
put plant,wear top,2
use scissor,use sticker,2
cut flag,put cover,2
add barbecue,add onion,2
add spice,use chickpea,2
use mushroom,use serving,2
put lid,use milk,2
remove skin,use fruit,2
add potato,stuff in eggplant,2
add blue,use color,3
use color,write in diary,2
use color,use pencil,2
put effort,wear legging,2
put effort,wear top,4
use marker,wear top,2
use marker,write schedule,2
add onion,use hand,2
add carrot,add sauce,2
add carrot,use spoon,2
add sauce,use spoon,2
add liquid,use spoon,2
mix shallot,use spoon,2
brush hair,work way,2
put for second,work way,2
add honey,use type,2
cut hole,pull thread,2
cut denim,pull thread,2
draw line,pull thread,3
pull thread,sew stitch,4
add length,sew stitch,2
sew stitch,use twine,2
clear counter,use cloth,10
add water,use cloth,48
clean area,use mop,2
vacuum floor,write schedule,2
use mop,vacuum floor,6
clean house,put cushion,5
add cube,put clothe,2
put sheet,use blanket,2
draw picture,write list,2
cut hole,meet strap,2
break bank,clean kitchen,2
break bank,use cloth,3
break bank,clean floor,2
clean kitchen,use cloth,11
fill space,light candle,3
clear dresser,put show,2
add dressing,clear dresser,4
clear dresser,dust surface,2
cook for minute,use cloth,2
add chicken,cook with steel,8
add onion,cook with steel,7
add oil,cook with steel,3
cook for minute,cook with steel,2
add water,cook with steel,6
add chicken,add cinnamon,2
add cinnamon,add to pan,2
add cinnamon,add onion,2
add cinnamon,add potato,2
add potato,cook for minute,5
add bit,add cinnamon,3
add bean,drain water,3
add sauce,drain water,2
add cheese,drain water,2
cook on stove,eat meat,2
add cilantro,add topping,3
add topping,use cream,2
add cilantro,use cream,3
add ingredient,add seasoning,2
add ingredient,add onto baking dish,2
add onto baking dish,add seasoning,2
add onto baking dish,put granola,2
add oil,put granola,3
add packet,put lid,2
add packet,cook for minute,2
add packet,add texture,2
cook for minute,put lid,10
add texture,put lid,2
add texture,cook for minute,2
use bon ami,wash dish,4
clean kitchen,use bon ami,4
clean kitchen,clean sink,13
draw picture,eat amount,2
draw picture,use in kitchen,2
eat amount,use in kitchen,2
eat amount,put cover,2
put cover,use in kitchen,2
add ingredient,use rice,8
add stock,use rice,11
add stock,cook on stove,3
add ingredient,add stock,3
add ingredient,put lid,2
add stock,put lid,5
add pepper,add stock,4
break throughout week,put grocery,2
pull into driveway,put grocery,2
pull into driveway,wear dress,2
eat amount,use ton,2
chop lettuce,lift weight,2
chop lettuce,eat amount,2
add veggie,cut into quarter,4
add bean,cut into quarter,2
add potato,use blender,2
add potato,use milk,3
use blender,use milk,2
clean dish,clean fridge,2
put food,put grocery,3
clean fridge,put grocery,2
clean fridge,put food,2
add mess,clean fridge,2
use in future,use recipe,2
chop lettuce,use cloth,2
chop lettuce,use paper,11
sleep in bed,use paper,3
put sheet,use silicone mat,2
use for while,use vitamin,2
add ingredient,use vitamin,3
clean desk,use sponge,2
use bon ami,use sponge,2
use scrub,use sponge,3
cook on stove,wash dish,2
add chicken,add ginger,4
add ginger,cook for minute,2
add ginger,add sauce,8
add ginger,add vinegar,2
stick orange into muffin tin,use finger,2
add garlic,add to pan,2
add ginger,add to pan,6
add flavor,add ginger,5
add ginger,use rice,4
drain water,eat dinner,5
drain water,set tent,2
eat dinner,set tent,4
add water,clear counter,4
add of cabbage,add onion,3
add of cabbage,cook for minute,4
eat meat,use butter,2
add barbecue,use butter,2
add barbecue,cook on side,2
add sauce,eat food,2
put lid,shake bag,2
add chicken,shake bag,2
shake bag,use rice,2
light candle,use in kitchen,3
light candle,use towel,3
use in kitchen,use towel,3
put foot,put music,5
cook for minute,cook on side,3
cook on side,use code,2
open window,use steam,2
clean floor,open window,7
clean floor,use steam,6
add cube,build furniture,2
build furniture,build tv stand,2
use anchor,use hook,2
cut hole,use anchor,6
brush tooth,cut hole,3
add ginger,add onion,2
clean house,work way,2
break throughout week,clean mess,2
clean mess,use method,2
spray toilet,use method,2
use cloth,use method,5
clean mirror,use method,3
spray toilet,use cloth,2
clean mirror,spray toilet,5
set timer,teach kid,2
set timer,wash dish,2
clean area,teach kid,2
teach kid,wash dish,2
clear counter,use glass,4
clean house,work on basement,4
clean house,clean toy,10
clean toy,work on basement,2
put cover,wash hair,2
use razor,use spray,2
draw card,work on basement,2
pull cousin,put shelf,2
pump lash,put shelf,2
use butter,use twine,2
clean kitchen,place order,2
drop son at school,use glass,2
drink on way,fill tray,2
add sugar,cook on stove,2
clean house,fill space,2
clean house,use spray,3
use cloth,use glass,13
brush tooth,use hook,2
brush tooth,use house,3
use hook,use house,2
cut hole,use house,2
add spring sing,cut hole,2
clean floor,use glove,6
drain water,use broom,4
clean sink,drain water,2
clean sink,use broom,13
rinse with water,use broom,4
chop cucumber,put in slot,2
put popsicle stick,use grape,2
eat at home,use grape,2
eat at home,put popsicle stick,2
eat at home,use berry,2
add bit,add seasoning,2
add bit,add packet,2
add packet,add seasoning,2
add seasoning,use rice,5
add packet,use rice,2
add onion,add packet,2
clear space,sweep floor,2
cut hole,sweep floor,2
ride bike,use ton,2
clean sink,put thought,3
clean mirror,clean sink,13
brush tooth,clean sink,4
break throughout week,put in garage,2
put contact,put cover,2
kill bacteria,wash face,2
use brush,wash face,3
clean dish,drive nut,2
clean sink,drive nut,3
add of favorite,add spring sing,2
add spring sing,dust surface,2
add of favorite,dust surface,2
add of favorite,clean house,2
clean house,draw card,2
use brush,use scissor,3
put rug,wash washer,2
add water,wash washer,2
splash face,wash washer,2
add water,splash face,3
clean dice,use vacuum,2
clean area,fill surface spray with concentrate,2
add oil,clean sink,14
clean baseboard,use light,2
use light,vacuum floor,2
clean area,put pillow,2
clean house,use vacuum,2
put rug,vacuum floor,4
use leftover,wash dish,2
put dish,use leftover,2
use in future,use leftover,2
put beam,use light,2
put beam,use tile,2
use broom,use cleaner,2
break throughout week,clean area,2
add to pan,work on steel,2
add egg,put dish,2
put dish,stick orange into muffin tin,2
add sausage,cook for minute,3
add cheese,cook for minute,3
add cheese,add sausage,2
add green,cut to chase,2
add bean,put food,2
add of cabbage,add water,2
clean floor,clear space,2
clean area,use spray,4
add ice,eat lunch,3
eat lunch,wash dish,2
add oil,clean dish,2
use cloth,use product,4
use cloth,use scrub,2
use product,use scrub,2
clean floor,use vacuum,4
clean floor,vacuum floor,5
add oil,use vacuum,6
put cushion,vacuum floor,2
clean dish,clear counter,7
clean kitchen,use guy,3
clean area,put on stove,2
pay attention,use spray,2
clean sink,wear slipper,4
use broom,wear slipper,2
put clothe,set for hour,2
add veggie,put sheet,2
use fireplace,wear in winter,2
open bag,use googan,2
use googan,use turkey,2
use butter,use googan,4
add oil,use googan,2
open bag,use turkey,2
open bag,use butter,3
use butter,use turkey,6
add oil,use turkey,3
add rosemary,use butter,3
add rosemary,use turkey,3
cook for minute,use turkey,2
add potato,cook with steel,2
add bean,put cover,2
add to pan,use turkey,2
clean mirror,clear counter,3
use cloth,use spray,7
set timer,wear in winter,2
clean kitchen,cook on stove,4
clean kitchen,put on stove,4
put in mood,write song,2
clean house,write song,2
clear counter,sleep in bed,2
set for success,wash dish,8
clean during weekend,clean house,4
clean area,clean during weekend,2
clean during weekend,clean toy,2
clean mirror,use code,2
use cloth,use code,5
draw foreigner,use code,2
clean floor,sweep floor,2
sweep floor,use vacuum,2
clean house,clear counter,5
eat lunch,put popsicle stick,2
put hair,use fruit,2
pull thread,use towel,2
pull thread,put wreath,2
put wreath,use towel,3
clean kitchen,clean mess,2
cook on stove,use in kitchen,2
use bottle,use hand,3
add onion,put food,3
clean sink,use guy,2
fill space,put plant,2
paint wall,put shelf,2
paint coat,put shelf,2
paint coat,paint wall,3
chop cucumber,put ranch,2
chop cucumber,cook pasta,5
add egg,add honey,2
add egg,use fruit,6
put clothe,use towel,4
use mop,use steam,5
put hand,put pillow,4
clean desk,paint opinion,2
paint opinion,put cover,4
clean kitchen,put cover,2
clean kitchen,use spray,5
clean kitchen,use product,2
use product,use spray,2
clean mirror,use glass,4
clean mess,work from home,2
pay attention,use method,2
blow mind,use method,2
pay attention,use cleaner,2
blow mind,use cleaner,2
blow mind,pay attention,2
mop floor,use vacuum,2
clean dish,use walnut,2
use at night,use vacuum,2
eat lunch,use leftover,4
fill surface spray with concentrate,use cleaner,2
fill with sand,put rug,2
clean floor,use mop,8
kiss in moonlight,use mop,2
add height,light candle,2
use cloth,work on steel,6
break throughout week,put clothe,3
clean house,use cloth,7
fill surface spray with concentrate,use bottle,2
put in bathroom,spray toilet,2
clean sink,use cloth,16
brush tooth,teach kid,2
clean baseboard,use spray,2
put in bathroom,wash hair,3
light candle,put in bathroom,6
paint wall,use leftover,2
put item,use paper,2
add mint,use peppermint,3
sleep in bed,wash washer,2
use at night,vacuum floor,2
use at night,use mop,2
clean house,use dyson,2
