source,target,weight
clean car,clean floor,2
pack snack,use fruit,2
use primer,wear makeup,5
put hand,wear makeup,3
use foundation,wear turtleneck,2
use foundation,use product,3
open pore,use mascara,3
put foot,put remote,2
put shelf,use type,4
use toner,wear makeup,2
use calendar,use type,6
add date,write note,3
wear jean,wear outfit,3
use brush,use light,2
use brush,wear jean,3
open pore,use app,2
use mask,wear top,2
use blanket,use color,2
use color,use light,2
light candle,use color,3
light candle,use light,6
brush tooth,put hair,7
brush tooth,put contact,5
cry for hour,put contact,2
brush hair,put hair,47
use bronzer,use brush,7
use brush,use cosmetic,6
curl eyelash,use brush,12
use brush,use mascara,4
curl eyelash,use bronzer,2
use bronzer,use mascara,3
eat food,eat lunch,3
clean sink,use cleaner,4
use mask,use toner,2
put clothe,wear jean,4
wear bra,wear top,6
pull thread,wear jean,3
wear jean,wear top,13
wear jean,wear legging,7
cut hole,poke hole,2
cut hole,put side,2
wear top,work eraser on deodorant stain,2
put clothe,wear outfit,3
pull thread,put clothe,2
add bean,add potato,4
add bean,add cheese,5
add cheese,add to taste,2
wash body,wash hair,5
add oil,put hair,21
add oil,brush hair,9
clean area,set timer,9
put hair,use spray,5
add oil,work eraser on deodorant stain,4
clean mirror,put shoe,5
build muscle,eat calorie,2
add cheese,add egg,2
add cheese,add salt,4
put hair,wear dress,2
wear bra,wrap gift,2
open door,pull hair,2
add length,wear top,3
add honey,place order,2
put earring,wear outfit,2
use product,work eraser on deodorant stain,2
use product,use tip,3
set goal,use laptop,2
drive traffic to people,put story,2
drive traffic to people,put hashtag,3
put hashtag,put story,3
put story,use type,2
use color,wear top,3
add oil,put side,6
add oil,put phone,2
cut bottom,put hand,2
add bean,add veggie,7
add bean,ride bike,2
use cream,use yogurt,6
put music,write schedule,2
wear skirt,wear top,2
put clothe,wear short,3
put hand,use straw,2
use product,use toner,4
clean sink,use product,8
put side,put story,2
add water,wear to gym,2
add water,clean mirror,14
add water,put shoe,3
add vinegar,brush tooth,3
clean area,clean mirror,2
clean area,put shoe,2
read book,set for hour,2
read book,use type,5
add sweetener,cut in half,3
add sweetener,use butter,3
add cinnamon,cut in half,4
add fat,use butter,9
add cinnamon,add fat,6
add water,use mascara,2
put stuff,use rice,2
put under eye,use cream,2
use cream,use serum,4
add water,wash hair,7
use butter,wash hair,3
add fat,wash hair,3
put music,work way,2
cut denim,wear jacket,2
put hand,use finger,2
add spring sing,use code,2
put shoe,use platform,2
add accessory,wear bra,3
add accessory,wear top,2
eat food,use rice,2
add text,use app,2
pull dress on weekend,wear dress,2
add sugar,use finger,3
clean area,wear makeup,5
add water,wear makeup,6
add water,clean area,5
add oil,use mascara,5
add oil,clean area,7
add oil,break cellulite,2
open pore,use mask,4
remove skin,use mask,3
add water,use mask,10
clean car,use mask,2
add water,open pore,2
add water,remove skin,2
add water,clean car,3
use finger,use type,2
remove skin,use type,3
add oil,add sugar,14
add oil,remove skin,2
